temperature,precipitation,humidity,WindSpeed,DaylightHours,pressure,weather
15.6,0,94,0.9,0,1000.6,2
15.9,0,89,1.5,0,1000.4,2
15.9,0,81,1.7,0,1000.1,2
14.4,0,92,1,0,1000.5,2
13.9,0,95,0.9,0,1000.6,2
15.5,0,80,2.9,0,1000.8,4
16.2,0,72,3.2,0.1,1001.4,4
16.8,0,69,2.7,0,1001.5,4
18.6,0,60,4.9,0.2,1001.6,4
18.5,0,53,5.7,0,1001.7,4
19.5,0,47,7.3,0.1,1001.7,4
20.3,0,46,5.8,0.1,1002,4
21.4,0,38,7.7,0.2,1002.1,4
21.7,0,44,7.5,0.3,1002.1,4
21.8,0,43,7.1,0.3,1002.1,2
21.6,0,42,6.2,0.3,1002.8,2
21.6,0,43,6.4,0.3,1002.9,2
20.3,0,49,5.6,0.3,1003,2
19.9,0,51,5.1,0.6,1003.5,2
18.4,0,53,4.2,0.6,1004.1,2
17.4,0,60,3.5,0,1004.9,2
16.4,0,66,2.6,0,1005.8,2
16.4,0,71,1.9,0,1006,2
14.6,0,80,1,0,1006.2,2
13.5,0,84,1.1,0,1006.3,2
13.4,0,85,1.6,0,1006.1,2
12.4,0,88,1.5,0,1005.7,2
12.5,0,88,1.4,0,1005.6,2
12.6,0,88,1.3,0,1005.9,2
12.9,0,87,1.5,0.2,1006.4,2
16.3,0,75,1.2,1,1006.5,2
18.9,0,60,1.3,1,1006.3,2
20.7,0,52,1.8,1,1006,2
23.1,0,47,3.2,1,1005.6,2
25.5,0,39,3.9,1,1005.1,2
26.7,0,38,5.8,1,1004.9,2
27.2,0,35,6.2,1,1004.5,2
28.5,0,33,5.7,1,1004.1,2
28.7,0,33,6,1,1003.8,2
28.8,0,34,5.4,1,1003.9,2
27.9,0,38,5.5,1,1004,2
27,0,41,5,1,1004.6,2
25.4,0,43,4.3,1,1005.3,2
23.4,0,49,1.2,0.3,1005.8,2
22.7,0,49,2.4,0,1006.7,2
22.3,0,51,2.8,0,1007.4,2
18.5,0,71,1.4,0,1007.8,2
17.5,0,76,1.2,0,1007.8,2
17.1,0,75,1.3,0,1007.8,2
15.9,0,79,1.4,0,1007.8,2
15.3,0,81,0.9,0,1007.7,2
14.7,0,82,0.5,0,1007.5,2
13.7,0,87,0.7,0,1008.1,2
14,0,85,0.6,0,1008.6,2
15.8,0,80,0.8,1,1008.4,2
17.5,0,74,1.1,1,1007.8,2
19,0,71,1,1,1007.3,2
21.1,0,56,1.6,1,1006.7,2
24.1,0,50,1.9,1,1005.9,2
26.5,0,43,2.4,1,1005,2
